iter	MultiClass
0	1.079601925
1	1.05944543
2	1.041562723
3	1.024829833
4	1.018659809
5	1.012030056
6	1.001808621
7	0.9900007272
8	0.9807059372
9	0.9770252784
10	0.9721740313
11	0.9651924007
12	0.9589269838
13	0.9563125007
14	0.9534376546
15	0.9507602425
16	0.9490597952
17	0.9468348482
18	0.9444917953
19	0.9432643044
20	0.9403020469
21	0.9384160914
22	0.9357161333
23	0.9342289596
24	0.9324452439
25	0.9311285232
26	0.9293703719
27	0.9273990674
28	0.926267715
29	0.9250477906
30	0.9242042115
31	0.9230044896
32	0.9215613332
33	0.9170673876
34	0.9141969627
35	0.913325946
36	0.9118492313
37	0.9112854601
38	0.9082100275
39	0.9070102629
40	0.9057811855
41	0.9049938044
42	0.9037736465
43	0.902808397
44	0.9016391214
45	0.900948594
46	0.8997676894
47	0.8992067661
48	0.8983584415
49	0.8972480958
50	0.8967541647
51	0.8960946339
52	0.8950121832
53	0.8942464721
54	0.8931121002
55	0.8925190677
56	0.8918580252
57	0.8908015968
58	0.8897421659
59	0.8887724555
60	0.8865540718
61	0.8859916184
62	0.8851572892
63	0.8841711998
64	0.8828449648
65	0.8822805267
66	0.881399602
67	0.8806706234
68	0.8797545158
69	0.8784745406
70	0.8776451339
71	0.8770661953
72	0.8761444113
73	0.8752101619
74	0.8743456213
75	0.8734445315
76	0.8726112146
77	0.8720833826
78	0.8714060972
79	0.8709479895
80	0.8697047159
81	0.8691531344
82	0.8686110495
83	0.8685942895
84	0.8680829197
85	0.8676701276
86	0.8673833672
87	0.8667617062
88	0.8662296671
89	0.8653985288
90	0.8649925517
91	0.8640501005
92	0.8631583217
93	0.8625671396
94	0.862211848
95	0.8610995717
96	0.860528008
97	0.8595390426
98	0.8588745195
99	0.8581394127
100	0.8574106662
101	0.8566692901
102	0.8562575026
103	0.8543508275
104	0.853641911
105	0.8520821165
106	0.8512444371
107	0.8507334867
108	0.8500347359
109	0.8494105401
110	0.848872392
111	0.8483000392
112	0.8475313664
113	0.8464811508
114	0.8459510511
115	0.8453725293
116	0.8449304214
117	0.843863925
118	0.8427399122
119	0.8411134783
120	0.8405432071
121	0.8392257327
122	0.8380173126
123	0.8367959974
124	0.8360117764
125	0.8353779864
126	0.8346241608
127	0.8339719088
128	0.8332192522
129	0.8319409211
130	0.8308897691
131	0.8300602393
132	0.8292633402
133	0.8284776136
134	0.8279805257
135	0.8271993405
136	0.8263071963
137	0.8255086535
138	0.8245423828
139	0.8232280214
140	0.8223090919
141	0.821110901
142	0.8204520622
143	0.8199623605
144	0.8191873964
145	0.818501068
146	0.8178207348
147	0.817015829
148	0.8163320663
149	0.8151991144
150	0.8144846931
151	0.8140863057
152	0.8136709587
153	0.8131136032
154	0.8121652247
155	0.8109083281
156	0.8098023673
157	0.8090184634
158	0.8083909213
159	0.8073115026
160	0.8065034659
161	0.806210082
162	0.8056474861
163	0.8049857796
164	0.8042439933
165	0.8034135274
166	0.8027770966
167	0.802477023
168	0.8017588493
169	0.8008362927
170	0.7998963408
171	0.7994113496
172	0.7987778894
173	0.7980026276
174	0.7972483886
175	0.7962812067
176	0.7956826553
177	0.7952841299
178	0.7946224576
179	0.793502212
180	0.792946177
181	0.7920322545
182	0.7916078486
183	0.7904367917
184	0.7901013838
185	0.7894042945
186	0.7887422056
187	0.7880019669
188	0.7872516818
189	0.7867547672
190	0.7863417107
191	0.7857704525
192	0.7852107481
193	0.7844480868
194	0.7838629782
195	0.7832043312
196	0.7828588561
197	0.7822699066
198	0.7816586421
199	0.7808920485
