iter	Passed	Remaining
0	106	46356
1	209	45573
2	306	44317
3	404	43775
4	498	43038
5	589	42365
6	683	42008
7	779	41798
8	880	41870
9	981	41902
10	1081	41880
11	1172	41519
12	1261	41149
13	1347	40715
14	1435	40375
15	1524	40102
16	1617	39952
17	1706	39728
18	1794	39489
19	1880	39198
20	1968	38997
21	2055	38775
22	2144	38608
23	2232	38418
24	2319	38219
25	2411	38114
26	2502	38000
27	2588	37816
28	2679	37703
29	2763	37486
30	2848	37307
31	2938	37196
32	3021	36993
33	3105	36808
34	3200	36758
35	3288	36629
36	3376	36502
37	3485	36602
38	3577	36507
39	3665	36382
40	3754	36262
41	3840	36118
42	3933	36044
43	4030	35995
44	4116	35862
45	4203	35727
46	4289	35589
47	4372	35437
48	4458	35301
49	4544	35172
50	4629	35039
51	4723	34970
52	4810	34853
53	4902	34768
54	5000	34730
55	5087	34612
56	5172	34481
57	5256	34350
58	5345	34249
59	5441	34190
60	5534	34116
61	5624	34021
62	5710	33898
63	5800	33804
64	5888	33702
65	5975	33590
66	6063	33484
67	6151	33380
68	6238	33273
69	6336	33221
70	6426	33128
71	6514	33025
72	6601	32915
73	6686	32802
74	6773	32691
75	6860	32588
76	6949	32492
77	7037	32389
78	7124	32287
79	7211	32183
80	7298	32076
81	7395	32015
82	7489	31943
83	7571	31819
84	7662	31732
85	7750	31633
86	7836	31525
87	7923	31422
88	8010	31322
89	8101	31234
90	8197	31166
91	8292	31098
92	8387	31026
93	8482	30951
94	8573	30864
95	8671	30802
96	8757	30697
97	8860	30650
98	8955	30575
99	9052	30508
100	9142	30413
101	9232	30321
102	9325	30240
103	9418	30156
104	9507	30063
105	9607	30001
106	9698	29912
107	9789	29821
108	9883	29742
109	9980	29669
110	10069	29573
111	10170	29513
112	10264	29429
113	10357	29347
114	10455	29274
115	10558	29218
116	10656	29144
117	10761	29091
118	10857	29015
119	10950	28926
120	11049	28855
121	11143	28771
122	11238	28689
123	11337	28618
124	11437	28546
125	11525	28447
126	11617	28356
127	11711	28273
128	11807	28192
129	11898	28099
130	11993	28015
131	12091	27938
132	12192	27869
133	12297	27806
134	12398	27735
135	12492	27648
136	12596	27583
137	12700	27517
138	12804	27450
139	12910	27389
140	13008	27309
141	13125	27267
142	13224	27188
143	13333	27129
144	13448	27083
145	13554	27016
146	13661	26951
147	13757	26865
148	13854	26778
149	13945	26682
150	14033	26580
151	14121	26478
152	14209	26375
153	14294	26268
154	14380	26163
155	14464	26054
156	14553	25955
157	14641	25854
158	14724	25744
159	14809	25638
160	14893	25531
161	14976	25423
162	15059	25314
163	15142	25206
164	15225	25099
165	15310	24995
166	15393	24887
167	15478	24784
168	15563	24680
169	15649	24578
170	15738	24482
171	15828	24386
172	15916	24288
173	16004	24191
174	16090	24089
175	16176	23989
176	16262	23888
177	16346	23784
178	16429	23681
179	16513	23578
180	16597	23474
181	16682	23373
182	16765	23269
183	16847	23164
184	16929	23060
185	17012	22957
186	17094	22853
187	17176	22749
188	17259	22647
189	17340	22542
190	17421	22438
191	17502	22334
192	17587	22234
193	17669	22131
194	17765	22047
195	17846	21943
196	17929	21842
197	18014	21745
198	18101	21648
199	18187	21552
200	18273	21455
201	18360	21360
202	18454	21272
203	18543	21179
204	18632	21086
205	18719	20991
206	18804	20894
207	18891	20798
208	18977	20703
209	19064	20608
210	19150	20511
211	19237	20416
212	19320	20317
213	19406	20222
214	19489	20124
