rank,feature_name,importance,importance_pct,cumulative_pct,recommendation
1,PERSON_COUNT,0.148462,14.846240,14.846240,KEEP
2,VEHICLE_COUNT,0.146855,14.685526,29.531766,KEEP
3,FIRST_CRASH_TYPE,0.118264,11.826369,41.358134,KEEP
4,age_clean_mean,0.062269,6.226939,47.585073,KEEP
5,is_driver_sum,0.060572,6.057222,53.642296,KEEP
6,DAMAGE,0.055573,5.557264,59.199560,KEEP
7,age_clean_max,0.045288,4.528783,63.728343,KEEP
8,age_clean_min,0.045247,4.524743,68.253085,KEEP
9,PRIM_CONTRIBUTORY_CAUSE,0.043581,4.358051,72.611136,KEEP
10,NUM_UNITS,0.032800,3.279978,75.891114,KEEP
11,TRAFFIC_CONTROL_DEVICE,0.016712,1.671199,77.562313,REVIEW
12,DEVICE_CONDITION,0.015379,1.537861,79.100174,REVIEW
13,TRAFFICWAY_TYPE,0.015183,1.518300,80.618474,REVIEW
14,BEAT_OF_OCCURRENCE,0.015149,1.514925,82.133399,REVIEW
15,AVG_VEHICLE_YEAR,0.014054,1.405437,83.538836,REVIEW
16,POSTED_SPEED_LIMIT,0.012258,1.225792,84.764628,REVIEW
17,OLDEST_VEHICLE_YEAR,0.012160,1.215999,85.980626,REVIEW
18,MULTI_VEHICLE,0.011625,1.162477,87.143103,REVIEW
19,STREET_NO,0.011582,1.158161,88.301264,REVIEW
20,VEHICLE_AGE,0.011403,1.140276,89.441540,REVIEW
21,NEWEST_VEHICLE_YEAR,0.011354,1.135360,90.576900,REVIEW
22,Air Temperature,0.009721,0.972128,91.549028,REVIEW
23,CRASH_HOUR,0.008666,0.866551,92.415579,REVIEW
24,Barometric Pressure,0.008080,0.808027,93.223606,REVIEW
25,Humidity,0.007258,0.725841,93.949447,REVIEW
26,Wind Speed,0.006613,0.661280,94.610728,REVIEW
27,Total Rain,0.006088,0.608807,95.219535,REVIEW
28,LIGHTING_CONDITION,0.006028,0.602765,95.822300,REVIEW
29,CRASH_MONTH,0.005108,0.510803,96.333103,REVIEW
30,WEATHER_CONDITION,0.004464,0.446380,96.779483,DROP
31,CRASH_DAY_OF_WEEK,0.003869,0.386937,97.166420,DROP
32,NIGHT_POOR_LIGHTING,0.003800,0.379976,97.546396,DROP
33,ADVERSE_CONDITIONS_COUNT,0.003198,0.319833,97.866229,DROP
34,OLD_VEHICLE_FLAG,0.003107,0.310718,98.176947,DROP
35,IS_NIGHT,0.003014,0.301421,98.478368,DROP
36,LANE_CNT,0.002631,0.263107,98.741475,DROP
37,ROAD_DEFECT,0.002356,0.235646,98.977120,DROP
38,ROADWAY_SURFACE_COND,0.002285,0.228466,99.205587,DROP
39,Interval Rain,0.002031,0.203095,99.408682,DROP
40,IS_PEAK_HOUR,0.001256,0.125556,99.534239,DROP
41,IS_WEEKEND,0.001142,0.114166,99.648405,DROP
42,ALIGNMENT,0.000990,0.098967,99.747372,DROP
43,WET_ROAD,0.000817,0.081746,99.829118,DROP
44,Rain Intensity,0.000614,0.061429,99.890547,DROP
45,HIGH_SPEED_AREA,0.000614,0.061411,99.951957,DROP
46,Precipitation Type,0.000480,0.048043,100.000000,DROP
